10000
10000	7607	1858	21
60000	75794	47151	10397
110000	192743	180936	58483
160000	427895	392957	207192
210000	779464	635984	409015
260000	1169590	896411	645085
310000	1628143	1212471	928225
360000	2206383	1581657	1276017
410000	2896216	2066276	1681424
460000	3701902	2605594	2142970
510000	4662883	3269162	2663327
560000	5645229	3945048	3222065
610000	6890892	4848161	3851804
660000	8159686	5712010	4528895
710000	9560176	6672729	5261025
760000	11137053	7779280	6067915
810000	12957848	8939300	6916812
860000	14834810	10206231	7829373
910000	16753770	11574608	8798315
960000	18826023	13134236	9929861
